source	segment	word	start	duration	intensity	cog	sdev	skew	kurt
Liu-Jaeger-2018_0.wav	S	ARKANSAS	2.5611618527192297	0.13558931315592515	56.80367841914384	6794.445044157534	792.1079791390588	-1.0955308151152898	3.13377937864404
Liu-Jaeger-2018_0.wav	S	COLISEUM	7.781394091883329	0.1859590909356923	59.883371366822814	6667.083380272033	817.1165495688651	-0.8929056732738612	4.316414289756137
Liu-Jaeger-2018_0.wav	S	COMPENSATE	11.2687005428434	0.13329899201327855	58.03680001280983	6624.2889639800815	845.2356687057946	-1.5909024268510168	5.145506076717046
Liu-Jaeger-2018_0.wav	S	DEMOCRACY	14.663112305854241	0.1917926023455987	55.3361276992249	6224.39958452958	1079.8015552830389	-0.6766829619650796	0.2691105750042957
Liu-Jaeger-2018_0.wav	S	DINOSAUR	16.144496020630477	0.16652975810207238	59.63612714704525	6023.125889539349	920.4053415811389	0.18316814431638379	-0.11129330504600743
Liu-Jaeger-2018_0.wav	S	EMBASSY	19.6355521441615	0.17742359279995057	54.47694024262273	6504.904054202235	990.9240814647965	-1.4161469738906645	3.454538219527885
Liu-Jaeger-2018_0.wav	S	EPISODE	21.16730238360673	0.17843070102497194	63.00150681459305	6818.671040014511	779.632566527004	-0.9349954684097164	3.3315464691936247
Liu-Jaeger-2018_0.wav	S	ERASER	23.029415451895048	0.18288309168345762	64.74451265631411	6989.075907618107	656.9929325597777	-1.7899777918091635	5.161750216189292
Liu-Jaeger-2018_0.wav	S	HALLUCINATE	30.023356220096613	0.16107555261247342	65.45284640066542	5967.714742479559	881.3422891029591	0.0019821197871597836	0.3083165706883837
Liu-Jaeger-2018_0.wav	S	LEGACY	34.942415508035886	0.19693840924161776	59.2530810246082	6924.895896253614	869.3957389454306	-1.7083783120901277	5.465219878770238
Liu-Jaeger-2018_0.wav	S	LITERACY	36.68002134787849	0.17624646877198558	54.98889460182889	6344.470982607606	925.2362598500806	-0.7387690232808003	3.9631885250055223
Liu-Jaeger-2018_0.wav	S	MEDICINE	40.04647619047619	0.18619414750026664	59.891173294633454	6683.653755090764	705.031288815944	-1.114411124096729	5.708370448841531
Liu-Jaeger-2018_0.wav	S	OBSCENE	43.539869500127196	0.194907787939826	62.34870900646322	6272.540663634136	941.1236103659517	-0.1865268918163439	-0.4452690142631148
Liu-Jaeger-2018_0.wav	S	PARASITE	48.85576275752466	0.17970722921217686	59.31236998212978	6712.03495210474	950.0074192978976	-1.1541142769269244	1.7971710747120362
Liu-Jaeger-2018_0.wav	S	PENINSULA	52.49340020176407	0.1365276631016883	60.538357899990814	6817.113013951662	833.3766015818826	-1.6721906654950263	5.435007459798799
Liu-Jaeger-2018_0.wav	S	PERSONAL	54.06265562244082	0.16343609773634427	65.74048701209857	5579.922859541105	1074.8892108418008	0.596813152860618	-0.6071462378253742
Liu-Jaeger-2018_0.wav	S	PREGNANCY	56.057176472928354	0.14609519346178246	58.29100795198159	6647.300152629606	863.5760807386491	-1.4392705831501766	4.177569747743778
Liu-Jaeger-2018_0.wav	S	RECONCILE	61.21871225125564	0.13287942478485348	55.475476546794305	6782.199516173193	805.6745078652926	-2.0289084236535504	7.727149447344239
Liu-Jaeger-2018_0.wav	S	REHEARSAL	64.78086230506155	0.16041266524403852	63.99188634832483	6239.846657109354	1093.9268972979967	-0.3467214864620268	-0.7345756913981649
Liu-Jaeger-2018_0.wav	S	TENNESSEE	66.3337189867817	0.1735936117831045	61.65462920413012	7207.704028955292	740.3657442979319	-2.6904704181662193	12.281899048524686
Liu-Jaeger-2018_50.wav	S	ARKANSAS	2.5886857954545457	0.13581900618273401	62.90626850425577	5291.567933461149	1561.2859304153988	0.1418177788124418	-1.4728934455585736
Liu-Jaeger-2018_50.wav	S	COLISEUM	7.761404913101605	0.18681639432840313	64.8728663873296	5222.381334220366	1441.7114239455448	0.25974755651563197	-1.2928234751500778
Liu-Jaeger-2018_50.wav	S	COMPENSATE	11.383880660475793	0.13218359335073693	65.76336752523237	5766.947385700654	1407.1182022769299	-0.4576431365795195	-1.1354086265986254
Liu-Jaeger-2018_50.wav	S	DEMOCRACY	14.803875715648855	0.19134839738744702	60.855788617758975	5502.880705400614	1353.3093954577491	-0.03539574845387485	-1.1391694001656105
Liu-Jaeger-2018_50.wav	S	DINOSAUR	16.407506462191357	0.16748802310275934	60.81944079780382	5363.875638043804	1341.548760058312	-0.15052129300543624	-0.4752202486090371
Liu-Jaeger-2018_50.wav	S	EMBASSY	19.921418339416057	0.18612153127359932	59.81643068596855	5454.365284802147	1414.5908289688502	0.038540748641854874	-1.2644090610934493
Liu-Jaeger-2018_50.wav	S	EPISODE	21.462641152490985	0.17810630485809753	68.20850053418866	6430.170079362964	1196.0360224290528	-1.1163420450667252	0.5377504932531525
Liu-Jaeger-2018_50.wav	S	ERASER	23.31963139897075	0.18782245933250152	64.95560826942881	5651.62087493998	1593.3062648935017	-0.3215437551563013	-1.324666992575704
Liu-Jaeger-2018_50.wav	S	HALLUCINATE	30.448555482973703	0.16623654288836676	67.4092770933688	4948.182955948948	1292.1224234504648	0.50195625243203	-0.7047593911963275
Liu-Jaeger-2018_50.wav	S	LEGACY	35.88652957474226	0.20929073775774043	60.422911060536144	5602.158403544447	1507.612377653453	-0.10479713174996476	-1.468377180921631
Liu-Jaeger-2018_50.wav	S	LITERACY	37.61414038705584	0.17825372702182563	61.51336143657057	4684.712360178767	1106.892122519006	1.087843777104276	0.6336497797939327
