workerid,proliferate.condition,experiment_id,error
351,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
185,11,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
325,16,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
183,16,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
328,16,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
322,14,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
187,14,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
330,14,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
180,15,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
320,15,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
192,15,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
176,9,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
321,9,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
197,12,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
324,12,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
329,12,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
184,12,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
273,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
305,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
297,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
281,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
289,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
354,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
195,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
265,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
313,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
219,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
361,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
359,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
343,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
233,6,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
223,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
335,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
207,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
190,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
310,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
278,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
286,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
179,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
231,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
246,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
254,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
294,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
302,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
262,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
341,7,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
