workerid,proliferate.condition,exposureResp,error
182,10,"exposure,0,0,AS5H.webm,88,word,1657217278628,1657217283061,4433,false,false;exposure,1,1,SH11H.webm,88,word,1657217284079,1657217286823,2744,false,false;exposure,2,2,F3M.webm,88,word,1657217287833,1657217295567,7734,false,false;exposure,3,3,FN43M.webm,88,word,1657217296586,1657217299352,2766,false,false;exposure,4,4,FN24M.webm,88,word,1657217300366,1657217305156,4790,false,false;exposure,5,5,FN79H-CATCH.webm,88,word,1657217306172,1657217313411,7239,true,false;exposure,6,6,F13M.webm,88,word,1657217314428,1657217317736,3308,false,false;exposure,7,7,SH13H.webm,88,word,1657217318753,1657217321578,2825,false,false;exposure,8,8,FN17M.webm,77,non-word,1657217322594,1657217326027,3433,false,false;exposure,9,9,AS3H.webm,88,word,1657217327032,1657217329759,2727,false,false;exposure,10,10,FN65H.webm,77,non-word,1657217330772,1657217333411,2639,false,false;exposure,11,11,FN21H.webm,88,word,1657217334430,1657217340383,5953,false,false;exposure,12,12,FN25H.webm,77,non-word,1657217341401,1657217347298,5897,false,false;exposure,13,13,F15H.webm,77,non-word,1657217348313,1657217356082,7769,false,false;exposure,14,14,FN61H.webm,77,non-word,1657217357094,1657217366321,9227,false,false;exposure,15,15,AS1H.webm,77,non-word,1657217367341,1657217373516,6175,false,false;exposure,16,16,FN7M.webm,77,non-word,1657217374534,1657217380365,5831,false,false;exposure,17,17,SH15H.webm,88,word,1657217381373,1657217386610,5237,false,false;exposure,18,18,F7H.webm,88,word,1657217387619,1657217390521,2902,false,false;exposure,19,19,FN48M.webm,77,non-word,1657217391544,1657217396586,5042,false,false;exposure,20,20,FN3M-CATCH.webm,66,,1657217397593,1657217400177,2584,true,true;exposure,21,21,SH7H.webm,88,word,1657217401191,1657217404084,2893,false,false;exposure,22,22,FN39M.webm,77,non-word,1657217405096,1657217407953,2857,false,false;exposure,23,23,AS19H.webm,88,word,1657217408962,1657217411627,2665,false,false;exposure,24,24,F11H.webm,88,word,1657217412635,1657217416957,4322,false,false;exposure,25,25,FN57H.webm,77,non-word,1657217417966,1657217422068,4102,false,false;exposure,26,26,FN67M-CATCH.webm,66,,1657217423075,1657217425216,2141,true,true;exposure,27,27,AS11H.webm,88,word,1657217426256,1657217428838,2582,false,false;exposure,28,28,SH3H.webm,88,word,1657217429855,1657217432658,2803,false,false;exposure,29,29,FN29M.webm,88,word,1657217433677,1657217436338,2661,false,false;exposure,30,30,FN19H.webm,77,non-word,1657217437354,1657217442518,5164,false,false;exposure,31,31,SH17H.webm,88,word,1657217443538,1657217446088,2550,false,false;exposure,32,32,F5M.webm,88,word,1657217447105,1657217450399,3294,false,false;exposure,33,33,FN66H.webm,77,non-word,1657217451413,1657217454318,2905,false,false;exposure,34,34,FN45M.webm,77,non-word,1657217455333,1657217458327,2994,false,false;exposure,35,35,AS13H.webm,88,word,1657217459343,1657217462493,3150,false,false;exposure,36,36,FN11M.webm,77,non-word,1657217463511,1657217466441,2930,false,false;exposure,37,37,SH1H.webm,88,word,1657217467457,1657217470136,2679,false,false;exposure,38,38,FN37M.webm,77,non-word,1657217471149,1657217474604,3455,false,false;exposure,39,39,AS17H.webm,88,word,1657217475618,1657217478380,2762,false,false;exposure,40,40,F23M.webm,88,word,1657217479388,1657217482262,2874,false,false;exposure,41,41,FN23H.webm,77,non-word,1657217483274,1657217485923,2649,false,false;exposure,42,42,FN41H.webm,77,non-word,1657217486941,1657217489721,2780,false,false;exposure,43,43,FN1M.webm,77,non-word,1657217490737,1657217493787,3050,false,false;exposure,44,44,SH10H.webm,88,word,1657217494806,1657217497738,2932,false,false;exposure,45,45,AS15H.webm,88,word,1657217498755,1657217501385,2630,false,false;exposure,46,46,FN13H.webm,77,non-word,1657217502403,1657217505425,3022,false,false;exposure,47,47,F9H-CATCH.webm,66,,1657217506437,1657217508622,2185,true,true;exposure,48,48,F31H-CATCH.webm,66,,1657217509632,1657217512449,2817,true,true;exposure,49,49,FN49H.webm,77,non-word,1657217513466,1657217516493,3027,false,false;exposure,50,50,AS10H.webm,88,word,1657217517515,1657217520408,2893,false,false;exposure,51,51,FN9M.webm,77,non-word,1657217521426,1657217524077,2651,false,false;exposure,52,52,FN35H.webm,77,non-word,1657217525085,1657217527707,2622,false,false;exposure,53,53,SH19H.webm,88,word,1657217528760,1657217531436,2676,false,false;exposure,54,54,F1M-CATCH.webm,66,,1657217532448,1657217534214,1766,true,true;exposure,55,55,FN33H.webm,77,non-word,1657217535233,1657217537471,2238,false,false;exposure,56,56,SH5H.webm,88,word,1657217538485,1657217541076,2591,false,false;exposure,57,57,FN5H.webm,77,non-word,1657217542082,1657217544523,2441,false,false;exposure,58,58,FN27M.webm,77,non-word,1657217545534,1657217548333,2799,false,false;exposure,59,59,AS7H.webm,88,word,1657217549352,1657217551961,2609,false,false;exposure,60,60,FN75H.webm,77,non-word,1657217552977,1657217555446,2469,false,false;exposure,61,61,S8H.webm,88,word,1657217556456,1657217559016,2560,false,false;exposure,62,62,FN83M.webm,77,non-word,1657217560028,1657217562880,2852,false,false;exposure,63,63,F35M.webm,88,word,1657217563890,1657217566566,2676,false,false;exposure,64,64,SH20H.webm,88,word,1657217567580,1657217570381,2801,false,false;exposure,65,65,FN69H.webm,77,non-word,1657217571391,1657217573958,2567,false,false;exposure,66,66,SH14H.webm,88,word,1657217574977,1657217577422,2445,false,false;exposure,67,67,FN12H-CATCH.webm,66,,1657217578430,1657217580574,2144,true,true;exposure,68,68,F25M.webm,88,word,1657217581582,1657217584158,2576,false,false;exposure,69,69,FN47M.webm,77,non-word,1657217585172,1657217587658,2486,false,false;exposure,70,70,FN93H.webm,77,non-word,1657217588670,1657217591257,2587,false,false;exposure,71,71,S2H.webm,88,word,1657217592276,1657217594891,2615,false,false;exposure,72,72,FN73M.webm,77,non-word,1657217595899,1657217598871,2972,false,false;exposure,73,73,SH8H.webm,88,word,1657217599879,1657217602351,2472,false,false;exposure,74,74,S6H.webm,88,word,1657217603365,1657217605538,2173,false,false;exposure,75,75,FN89M.webm,77,non-word,1657217606550,1657217609185,2635,false,false;exposure,76,76,F39M-CATCH.webm,66,,1657217610195,1657217612238,2043,true,true;exposure,77,77,FN55M.webm,77,non-word,1657217613257,1657217615898,2641,false,false;exposure,78,78,FN99M.webm,77,non-word,1657217616906,1657217619503,2597,false,false;exposure,79,79,F28M.webm,88,word,1657217620518,1657217623241,2723,false,false;exposure,80,80,S20H.webm,88,word,1657217624248,1657217626857,2609,false,false;exposure,81,81,FN87M-CATCH.webm,66,,1657217627872,1657217630250,2378,true,true;exposure,82,82,SH12H.webm,88,word,1657217631259,1657217633725,2466,false,false;exposure,83,83,FN95H.webm,77,non-word,1657217634739,1657217637241,2502,false,false;exposure,84,84,SH4H.webm,88,word,1657217638250,1657217640870,2620,false,false;exposure,85,85,FN46M.webm,77,non-word,1657217641880,1657217644482,2602,false,false;exposure,86,86,FN16M.webm,77,non-word,1657217645486,1657217647993,2507,false,false;exposure,87,87,FN81H.webm,88,word,1657217648999,1657217651527,2528,false,false;exposure,88,88,S12H.webm,88,word,1657217652539,1657217655018,2479,false,false;exposure,89,89,F6M-CATCH.webm,66,,1657217656034,1657217658697,2663,true,true;exposure,90,90,FN4H.webm,77,non-word,1657217659705,1657217661904,2199,false,false;exposure,91,91,SH2H.webm,88,word,1657217662909,1657217665373,2464,false,false;exposure,92,92,F19H.webm,88,word,1657217666391,1657217668834,2443,false,false;exposure,93,93,FN22M.webm,77,non-word,1657217669853,1657217672370,2517,false,false;exposure,94,94,S14H.webm,88,word,1657217673384,1657217676134,2750,false,false;exposure,95,95,FN53M.webm,77,non-word,1657217677146,1657217680113,2967,false,false;exposure,96,96,FN20M.webm,77,non-word,1657217681120,1657217685336,4216,false,false;exposure,97,97,S18H.webm,88,word,1657217686354,1657217688970,2616,false,false;exposure,98,98,F37H-CATCH.webm,66,,1657217689987,1657217691968,1981,true,true;exposure,99,99,FN18M.webm,77,non-word,1657217692981,1657217695315,2334,false,false;exposure,100,100,FN2H.webm,77,non-word,1657217696336,1657217698656,2320,false,false;exposure,101,101,SH18H.webm,88,word,1657217699665,1657217702253,2588,false,false;exposure,102,102,FN14M.webm,77,non-word,1657217703296,1657217705623,2327,false,false;exposure,103,103,F27H.webm,88,word,1657217706641,1657217708948,2307,false,false;exposure,104,104,FN71H.webm,77,non-word,1657217709960,1657217712674,2714,false,false;exposure,105,105,SH9H.webm,88,word,1657217713693,1657217716418,2725,false,false;exposure,106,106,FN8H.webm,77,non-word,1657217717432,1657217720969,3537,false,false;exposure,107,107,S4H.webm,88,word,1657217721981,1657217724585,2604,false,false;exposure,108,108,FN90H.webm,77,non-word,1657217725594,1657217728467,2873,false,false;exposure,109,109,S9H.webm,88,word,1657217729477,1657217731880,2403,false,false;exposure,110,110,FN51H-CATCH.webm,66,,1657217732892,1657217734917,2025,true,true;exposure,111,111,SH6H.webm,88,word,1657217735924,1657217738438,2514,false,false;exposure,112,112,F17H.webm,88,word,1657217739444,1657217741876,2432,false,false;exposure,113,113,FN85H.webm,77,non-word,1657217742885,1657217745215,2330,false,false;exposure,114,114,F21H.webm,88,word,1657217746227,1657217748910,2683,false,false;exposure,115,115,FN77H.webm,77,non-word,1657217749924,1657217752192,2268,false,false;exposure,116,116,FN63M.webm,77,non-word,1657217753199,1657217755657,2458,false,false;exposure,117,117,FN10H.webm,77,non-word,1657217756672,1657217759093,2421,false,false;exposure,118,118,SH16H.webm,88,word,1657217760101,1657217762681,2580,false,false;exposure,119,119,S16H.webm,88,word,1657217763699,1657217766104,2405,false,false;",
318,10,"exposure,0,0,FN13H.webm,77,non-word,1659021700514,1659021704822,4308,false,false;exposure,1,1,AS19H.webm,88,word,1659021705834,1659021710862,5028,false,false;exposure,2,2,SH19H.webm,88,word,1659021711874,1659021714802,2928,false,false;exposure,3,3,F1M-CATCH.webm,66,,1659021715813,1659021717785,1972,true,true;exposure,4,4,FN24M.webm,77,non-word,1659021718798,1659021723561,4763,false,false;exposure,5,5,FN17M.webm,77,non-word,1659021724568,1659021727464,2896,false,false;exposure,6,6,FN65H.webm,77,non-word,1659021728471,1659021730817,2346,false,false;exposure,7,7,F11H.webm,88,word,1659021731824,1659021734285,2461,false,false;exposure,8,8,FN49H.webm,77,non-word,1659021735292,1659021738025,2733,false,false;exposure,9,9,FN66H.webm,77,non-word,1659021739031,1659021741992,2961,false,false;exposure,10,10,AS7H.webm,88,word,1659021742999,1659021745188,2189,false,false;exposure,11,11,SH17H.webm,88,word,1659021746196,1659021748628,2432,false,false;exposure,12,12,F9H-CATCH.webm,66,,1659021749636,1659021751833,2197,true,true;exposure,13,13,FN37M.webm,77,non-word,1659021752840,1659021755281,2441,false,false;exposure,14,14,SH13H.webm,88,word,1659021756290,1659021764077,7787,false,false;exposure,15,15,FN7M.webm,77,non-word,1659021765086,1659021768252,3166,false,false;exposure,16,16,AS13H.webm,88,word,1659021769260,1659021771616,2356,false,false;exposure,17,17,FN29M.webm,77,non-word,1659021772625,1659021774991,2366,false,false;exposure,18,18,AS3H.webm,88,word,1659021776000,1659021778387,2387,false,false;exposure,19,19,SH5H.webm,88,word,1659021779396,1659021781635,2239,false,false;exposure,20,20,F15H.webm,88,word,1659021782643,1659021785428,2785,false,false;exposure,21,21,FN23H.webm,77,non-word,1659021786436,1659021788724,2288,false,false;exposure,22,22,FN57H.webm,77,non-word,1659021789733,1659021792186,2453,false,false;exposure,23,23,FN25H.webm,77,non-word,1659021793195,1659021795521,2326,false,false;exposure,24,24,F23M.webm,88,word,1659021796530,1659021799143,2613,false,false;exposure,25,25,FN1M.webm,77,non-word,1659021800150,1659021802627,2477,false,false;exposure,26,26,FN21H.webm,77,non-word,1659021803636,1659021806177,2541,false,false;exposure,27,27,SH1H.webm,88,word,1659021807187,1659021809679,2492,false,false;exposure,28,28,AS1H.webm,88,word,1659021810688,1659021813218,2530,false,false;exposure,29,29,FN19H.webm,77,non-word,1659021814227,1659021816567,2340,false,false;exposure,30,30,FN41H.webm,77,non-word,1659021817576,1659021820113,2537,false,false;exposure,31,31,FN45M.webm,77,non-word,1659021821122,1659021823747,2625,false,false;exposure,32,32,SH7H.webm,88,word,1659021824782,1659021827627,2845,false,false;exposure,33,33,F7H.webm,88,word,1659021828635,1659021831081,2446,false,false;exposure,34,34,FN5H.webm,77,non-word,1659021832088,1659021834189,2101,false,false;exposure,35,35,AS15H.webm,88,word,1659021835197,1659021837922,2725,false,false;exposure,36,36,SH15H.webm,88,word,1659021838929,1659021841679,2750,false,false;exposure,37,37,FN9M.webm,77,non-word,1659021842685,1659021845367,2682,false,false;exposure,38,38,F13M.webm,88,word,1659021846373,1659021848710,2337,false,false;exposure,39,39,AS10H.webm,88,word,1659021849718,1659021852258,2540,false,false;exposure,40,40,FN3M-CATCH.webm,66,,1659021853264,1659021855371,2107,true,true;exposure,41,41,FN33H.webm,77,non-word,1659021856380,1659021858897,2517,false,false;exposure,42,42,FN11M.webm,77,non-word,1659021859905,1659021862295,2390,false,false;exposure,43,43,AS11H.webm,88,word,1659021863303,1659021865887,2584,false,false;exposure,44,44,F5M.webm,88,word,1659021866896,1659021869481,2585,false,false;exposure,45,45,FN43M.webm,77,non-word,1659021870489,1659021873165,2676,false,false;exposure,46,46,SH3H.webm,88,word,1659021874173,1659021876715,2542,false,false;exposure,47,47,FN67M-CATCH.webm,66,,1659021877721,1659021880123,2402,true,true;exposure,48,48,F3M.webm,88,word,1659021881132,1659021883713,2581,false,false;exposure,49,49,FN27M.webm,77,non-word,1659021884721,1659021887568,2847,false,false;exposure,50,50,FN35H.webm,77,non-word,1659021888576,1659021891300,2724,false,false;exposure,51,51,FN79H-CATCH.webm,66,,1659021892308,1659021894584,2276,true,true;exposure,52,52,SH11H.webm,88,word,1659021895593,1659021898333,2740,false,false;exposure,53,53,AS17H.webm,88,word,1659021899341,1659021901880,2539,false,false;exposure,54,54,FN48M.webm,77,non-word,1659021902888,1659021905250,2362,false,false;exposure,55,55,FN39M.webm,77,non-word,1659021906258,1659021909042,2784,false,false;exposure,56,56,AS5H.webm,88,word,1659021910049,1659021912558,2509,false,false;exposure,57,57,F31H-CATCH.webm,66,,1659021913568,1659021916206,2638,true,true;exposure,58,58,FN61H.webm,77,non-word,1659021917214,1659021919552,2338,false,false;exposure,59,59,SH10H.webm,88,word,1659021920561,1659021922882,2321,false,false;exposure,60,60,SH16H.webm,88,word,1659021923889,1659021926399,2510,false,false;exposure,61,61,F25M.webm,88,word,1659021927406,1659021929921,2515,false,false;exposure,62,62,S18H.webm,88,word,1659021930929,1659021933448,2519,false,false;exposure,63,63,FN51H-CATCH.webm,66,,1659021934456,1659021936696,2240,true,true;exposure,64,64,FN8H.webm,77,non-word,1659021937704,1659021940225,2521,false,false;exposure,65,65,FN53M.webm,77,non-word,1659021941232,1659021943617,2385,false,false;exposure,66,66,SH14H.webm,88,word,1659021944625,1659021947185,2560,false,false;exposure,67,67,FN2H.webm,77,non-word,1659021948193,1659021950514,2321,false,false;exposure,68,68,F39M-CATCH.webm,66,,1659021951523,1659021953381,1858,true,true;exposure,69,69,FN69H.webm,77,non-word,1659021954389,1659021956685,2296,false,false;exposure,70,70,FN63M.webm,77,non-word,1659021957693,1659021959948,2255,false,false;exposure,71,71,S16H.webm,88,word,1659021960956,1659021963382,2426,false,false;exposure,72,72,FN77H.webm,77,non-word,1659021964392,1659021966866,2474,false,false;exposure,73,73,FN85H.webm,77,non-word,1659021967874,1659021969940,2066,false,false;exposure,74,74,FN87M-CATCH.webm,66,,1659021970949,1659021972946,1997,true,true;exposure,75,75,F17H.webm,88,word,1659021973955,1659021976376,2421,false,false;exposure,76,76,SH18H.webm,88,word,1659021977385,1659021979795,2410,false,false;exposure,77,77,S8H.webm,88,word,1659021980803,1659021983021,2218,false,false;exposure,78,78,FN75H.webm,77,non-word,1659021984029,1659021986239,2210,false,false;exposure,79,79,FN93H.webm,77,non-word,1659021987247,1659021989557,2310,false,false;exposure,80,80,SH2H.webm,88,word,1659021990566,1659021993072,2506,false,false;exposure,81,81,S4H.webm,88,word,1659021994114,1659021996827,2713,false,false;exposure,82,82,F37H-CATCH.webm,66,,1659021997835,1659022000118,2283,true,true;exposure,83,83,FN4H.webm,77,non-word,1659022001127,1659022003683,2556,false,false;exposure,84,84,FN81H.webm,77,non-word,1659022004690,1659022007249,2559,false,false;exposure,85,85,FN83M.webm,77,non-word,1659022008255,1659022010789,2534,false,false;exposure,86,86,SH8H.webm,88,word,1659022011797,1659022014339,2542,false,false;exposure,87,87,FN73M.webm,77,non-word,1659022015347,1659022017882,2535,false,false;exposure,88,88,S14H.webm,88,word,1659022018890,1659022021544,2654,false,false;exposure,89,89,F6M-CATCH.webm,66,,1659022022551,1659022024931,2380,true,true;exposure,90,90,FN20M.webm,77,non-word,1659022025940,1659022028310,2370,false,false;exposure,91,91,FN55M.webm,77,non-word,1659022029318,1659022031689,2371,false,false;exposure,92,92,S9H.webm,88,word,1659022032697,1659022035370,2673,false,false;exposure,93,93,FN10H.webm,77,non-word,1659022036378,1659022038821,2443,false,false;exposure,94,94,SH4H.webm,88,word,1659022039829,1659022042342,2513,false,false;exposure,95,95,F19H.webm,88,word,1659022043351,1659022045843,2492,false,false;exposure,96,96,FN14M.webm,77,non-word,1659022046851,1659022049075,2224,false,false;exposure,97,97,F28M.webm,88,word,1659022050084,1659022052659,2575,false,false;exposure,98,98,FN12H-CATCH.webm,66,,1659022053666,1659022055996,2330,true,true;exposure,99,99,S6H.webm,88,word,1659022057004,1659022059310,2306,false,false;exposure,100,100,FN99M.webm,77,non-word,1659022060319,1659022062903,2584,false,false;exposure,101,101,SH6H.webm,88,word,1659022063912,1659022066279,2367,false,false;exposure,102,102,SH20H.webm,88,word,1659022067287,1659022069839,2552,false,false;exposure,103,103,S12H.webm,88,word,1659022070848,1659022073031,2183,false,false;exposure,104,104,FN47M.webm,77,non-word,1659022074040,1659022076512,2472,false,false;exposure,105,105,F21H.webm,88,word,1659022077521,1659022080097,2576,false,false;exposure,106,106,FN16M.webm,77,non-word,1659022081130,1659022083728,2598,false,false;exposure,107,107,FN22M.webm,77,non-word,1659022084736,1659022087135,2399,false,false;exposure,108,108,S20H.webm,88,word,1659022088141,1659022090728,2587,false,false;exposure,109,109,FN95H.webm,77,non-word,1659022091733,1659022094315,2582,false,false;exposure,110,110,F35M.webm,88,word,1659022095321,1659022097802,2481,false,false;exposure,111,111,FN90H.webm,77,non-word,1659022098809,1659022105996,7187,false,false;exposure,112,112,SH9H.webm,88,word,1659022107005,1659022109779,2774,false,false;exposure,113,113,FN18M.webm,77,non-word,1659022110787,1659022113426,2639,false,false;exposure,114,114,S2H.webm,88,word,1659022114433,1659022116995,2562,false,false;exposure,115,115,FN46M.webm,77,non-word,1659022118003,1659022120609,2606,false,false;exposure,116,116,FN71H.webm,77,non-word,1659022121617,1659022124488,2871,false,false;exposure,117,117,FN89M.webm,77,non-word,1659022125496,1659022128195,2699,false,false;exposure,118,118,SH12H.webm,88,word,1659022129203,1659022131716,2513,false,false;exposure,119,119,F27H.webm,88,word,1659022132725,1659022135251,2526,false,false;",
