file,study,word,fricative,shift_percent,cue_raw_M1,cue_raw_M2,cue_raw_M3,cue_raw_M4,cue_raw_W1M1,cue_raw_W1M2,cue_raw_W1M3,cue_raw_W1M4, cue_raw_W2M1,cue_raw_W2M2,cue_raw_W2M3,cue_raw_W2M4, cue_raw_W3M1,cue_raw_W3M2,cue_raw_W3M3,cue_raw_W3M4, cue_raw_W4M1,cue_raw_W4M2,cue_raw_W4M3,cue_raw_W4M4
Steps_ASHI-high,Steps,24,?SSH,ASHI-high,5116.979647087033,750.4090826933618,0.6205415018636169,3.1094910201708457,5099.881096866344,793.8204764678867,0.21796909407806908,4.8203964142782665,5134.078197307722,706.9976889188371,1.0231139096491648,1.3985856260634248,5130.287005009404,677.7169221021818,1.201811416375368,1.427204348861789,4222.833031984219,1992.849297422696,-0.8201568464634239,-0.1453069021500606,
Steps_ASHI-high,Steps,20,?SSH,ASHI-high,5423.146893939657,792.7089672511927,-0.21024726534835186,5.436645315968535,5400.019902691613,894.0677313399581,-1.3065022231734063,9.983684512740892,5446.273885187701,691.3502031624272,0.8860076924767025,0.8896061191961788,5397.056129372839,654.8553328662526,1.249142947252525,1.5066590402226323,3887.7137876053275,2407.925728967414,-0.4218071238463085,-1.284252658119477,
Steps_ASHI-high,Steps,19,?SSH ,ASHI-high,5520.231077460197,723.063478101094,0.6261128802691055,2.233817582707484,5526.883189995277,753.7950980621151,0.50363161584387,3.073516907893598,5513.578964925117,692.331858140073,0.748594144694341,1.3941182575213702,5450.328084890231,669.8570029788541,0.9557421497888517,3.1812765187862526,3680.089418512951,2507.2218281279625,-0.21132541804955204,-1.483658403878001,
Steps_ASHI-high,Steps,18,?SSH,ASHI-high,5563.177445723899,807.9668736241607,-0.2077968324734082,5.600532344106512,5544.714611390029,926.9651280381471,-1.448797885343969,10.260541618209166,5581.64028005777,688.9686192101743,1.0332042203971525,0.9405230700038585,5518.347296261155,659.7107723523029,1.3215847102826583,1.5752159120177058,3920.7690874345967,2452.1495810883034,-0.4135022347197867,-1.3397518007655624,
Steps_ASHI-high,Steps,17,?SSH,ASHI-high,5679.009501326129,771.2728941162165,0.2744195734884598,4.541737781014852,5674.877555636654,855.2205439305878,-0.5791370186489846,7.998899812538188,5683.141447015604,687.3252443018451,1.1279761656259042,1.084575749491517,5620.452464685441,671.8966887599454,1.2808314723781236,1.61569917366619,3832.6217346629483,2504.443650687462,-0.3459611400277737,-1.4380375911134395,
Steps_ASHI-high,Steps,16,?SSH,ASHI-high,5736.518299264568,789.8270651479647,-0.22473846475837211,6.313382761560694,5725.092379833558,907.1910429239693,-1.5377810151010138,11.565339083393823,5747.9442186955785,672.4630873719602,1.0883040855842696,1.0614264397275663,5687.121042678227,673.3484050376304,1.0948882535187978,2.1294323305889193,3565.534023026997,2576.4849180633146,-0.10028041938697782,-1.5726630762931462,
Steps_ASHI-high,Steps,15,?SSH,ASHI-high,5793.822463721221,725.4563603489011,0.14634983793599737,5.3149500153219424,5785.30833066035,793.4104039769888,-0.7068228380823793,9.393456927016357,5802.336596782091,657.5023167208133,0.9995225139543741,1.2364431036275274,5737.4284814930525,661.8435673681297,1.0076560840704873,2.304863307848289,3790.0208072650507,2567.976359767895,-0.25709795331162755,-1.5154396797360068,
Steps_ASHI-high,Steps,14,?SSH,ASHI-high,5869.3004072531385,713.9172535401733,0.0064231127419199785,6.028811265649642,5860.5329583868315,791.6543333288522,-1.0397449943543,11.162397147563938,5878.067856119446,636.1801737514943,1.05259121983814,0.8952253837353461,5818.654820930912,637.6946788869925,1.1771513780959835,0.9771464803038121,4163.925046066107,2498.583206513612,-0.5481870753795406,-1.2757520360429784,
Steps_ASHI-high,Steps,13,?SSH,ASHI-high,5932.238052799604,699.0393809421786,0.006319023336695484,5.804149595368992,5925.278588941451,773.9388846069087,-0.9792177216357998,10.934115813904082,5939.197516657757,624.1398772774485,0.9918557683091908,0.674183376833903,5889.933985221892,642.1884711121619,0.849909639673484,2.2368150924129964,3833.3314760949897,2609.790748695507,-0.2683799813328903,-1.5530233705048535,
Steps_ASHI-high,Steps,10,?SSH,ASHI-high,6166.393954796311,669.8502972099203,-0.4092852479360968,7.171964096587349,6172.868611657242,739.9075830942099,-1.150156051199641,11.370771574647092,6159.919297935381,599.7930113256307,0.3315855553274473,2.9731566185276064,6152.336551906459,628.838495632521,0.3704485788655313,2.6473620539698635,4171.775602533073,2635.56080680668,-0.45984290868057404,-1.4427202279404967,
